gen_0_5;gen_1_0;gen_2_1;gen_5_2;gen_5_3;balance
69.5;71.0;69.5;35.9;0.0;0.0
69.4;70.9;69.4;35.2;0.0;0.0
69.2;70.7;69.2;34.6;0.0;0.0
69.0;70.5;69.0;34.0;0.0;0.0
68.6;70.1;68.6;33.6;0.0;0.0
68.1;69.6;68.1;33.1;0.0;0.0
67.6;69.1;67.6;32.7;0.0;0.0
67.0;68.5;67.0;32.4;0.0;0.0
66.4;67.9;66.4;32.1;0.0;0.0
65.8;67.3;65.8;31.9;0.0;0.0
65.3;66.7;65.3;31.7;0.0;0.0
64.7;66.1;64.7;31.6;0.0;0.0
64.3;65.7;64.3;31.6;0.0;0.0
64.0;65.4;64.0;31.5;0.0;0.0
63.7;65.1;63.7;31.5;0.0;0.0
63.5;64.9;63.5;31.5;0.0;0.0
63.4;64.8;63.4;31.6;0.0;0.0
63.2;64.6;63.2;31.7;0.0;0.0
63.0;64.4;63.0;31.8;0.0;0.0
62.8;64.1;62.8;32.0;0.0;0.0
62.5;63.8;62.5;32.2;0.0;0.0
62.2;63.5;62.2;32.4;0.0;0.0
61.9;63.2;61.9;32.6;0.0;0.0
61.6;62.9;61.6;32.9;0.0;0.0
61.3;62.6;61.3;33.2;0.0;0.0
61.0;62.3;61.0;33.5;0.0;0.0
60.8;62.1;60.8;33.8;0.0;0.0
60.5;61.8;60.5;34.2;0.0;0.0
60.3;61.6;60.3;34.5;0.0;0.0
59.9;61.2;59.9;34.8;0.0;0.0
59.5;60.8;59.5;35.2;0.0;0.0
59.1;60.3;59.1;35.6;0.0;0.0
58.5;59.8;58.5;36.0;0.0;0.0
57.9;59.2;57.9;36.4;0.0;0.0
57.3;58.6;57.3;36.8;0.0;0.0
56.7;58.0;56.7;37.2;0.0;0.0
56.2;57.4;56.2;37.6;0.0;0.0
55.7;56.9;55.7;38.0;0.0;0.0
55.3;56.5;55.3;38.4;0.0;0.0
55.0;56.2;55.0;38.8;0.0;0.0
54.6;55.8;54.6;39.2;0.0;0.0
