gen_0_5;gen_1_0;gen_2_1;gen_5_2;gen_5_3;balance
69.1;70.6;68.7;37.0;0.0;0.0
68.4;70.4;68.9;35.6;0.0;0.0
69.1;72.0;70.5;35.3;0.0;0.0
70.1;71.5;68.3;34.5;0.0;0.0
68.5;71.0;69.0;33.7;0.0;0.0
69.6;71.4;67.7;33.0;0.0;0.0
69.0;69.6;69.3;33.6;0.0;0.0
67.7;68.0;68.4;32.4;0.0;0.0
66.1;68.9;66.8;32.5;0.0;0.0
67.0;67.8;66.9;32.3;0.0;0.0
66.5;67.8;65.2;31.7;0.0;0.0
66.1;68.0;65.6;31.8;0.0;0.0
65.9;66.6;64.3;31.2;0.0;0.0
64.2;66.7;63.9;31.8;0.0;0.0
64.4;65.5;64.3;31.5;0.0;0.0
63.7;65.1;64.1;31.9;0.0;0.0
62.1;64.2;62.2;32.0;0.0;0.0
62.8;66.4;62.5;31.4;0.0;0.0
63.5;64.6;63.7;31.8;0.0;0.0
63.0;65.3;63.2;31.9;0.0;0.0
62.7;64.3;63.2;31.9;0.0;0.0
62.3;63.8;62.3;31.6;0.0;0.0
62.3;64.2;62.0;32.2;0.0;0.0
61.2;63.0;61.2;32.3;0.0;0.0
62.4;62.1;61.6;32.8;0.0;0.0
61.2;62.7;60.6;33.0;0.0;0.0
60.6;62.2;61.1;33.7;0.0;0.0
61.1;62.0;59.8;33.4;0.0;0.0
61.4;61.0;60.8;33.5;0.0;0.0
59.9;61.4;60.9;34.9;0.0;0.0
59.9;61.7;58.7;34.5;0.0;0.0
60.2;62.3;59.7;35.2;0.0;0.0
59.1;60.6;58.1;35.6;0.0;0.0
59.4;58.7;58.7;36.3;0.0;0.0
59.2;59.6;58.2;36.2;0.0;0.0
57.9;58.1;57.3;37.0;0.0;0.0
56.4;58.3;57.8;37.3;0.0;0.0
56.1;56.8;55.8;36.6;0.0;0.0
56.3;56.5;55.0;37.9;0.0;0.0
54.8;56.2;55.8;39.0;0.0;0.0
54.7;56.4;55.5;38.7;0.0;0.0
54.9;54.9;54.0;39.3;0.0;0.0
55.4;55.4;54.6;39.8;0.0;0.0
53.9;55.1;53.0;40.0;0.0;0.0
53.0;55.0;53.5;39.9;0.0;0.0
53.6;54.6;53.2;40.3;0.0;0.0
53.3;54.2;53.3;40.7;0.0;0.0
52.1;53.5;52.0;41.4;0.0;0.0
52.9;54.3;51.5;41.3;0.0;0.0
